t(s),Total retention volume 8,Total retention volume 7,Total retention volume 6,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 2 volume 8,Total 1 volume 8,Total 1 volume 7,Total 1 volume 6,Flux surface 10: solute
10000.0,5.170227113487388e+16,97.16505462106781,24.833214218375538,1467187277226416.5,97.16118042742197,23.36670424722076,3.5980922100212076e+16,1.425416175743568e+16,0.0038741936459316096,1.466509971154757,-1.3843613649978374e-05
21000.0,8.371664652202054e+16,-59.2178922993135,1.9710078457182723,1871474616597529.8,-59.21553155144937,1.7545399798958665,5.954465944702682e+16,2.2300512458396268e+16,-0.002360747864095546,0.21646786582240696,-1.0828905820239136e-05
33100.0,1.1177523523410448e+17,-3509.6644205039556,-1021.8992234230182,2104691302653417.2,-3509.523345281376,-959.2864239388671,8.068520415039896e+16,2.898533978105204e+16,-0.14107522258376098,-62.612799484151466,0.0006139290814220531
46410.0,1.3852041834871838e+17,15181.156680857835,4066.510705580543,2271223976779478.0,15180.557776648266,3835.336904685514,1.0113746971604598e+17,3.511172465589289e+16,0.5989042095479953,231.17380089502444,-0.002551077961450993
61051.00000000001,1.6498450432852726e+17,206206.4283590975,71379.12518740555,2402641110318173.0,206198.19036348205,67005.7804103014,1.2159860551788315e+17,4.098325770032597e+16,8.23799561574543,4373.344777104003,-0.04955039729399674
77156.10000000002,1.9172576830329373e+17,436265.0358442796,200605.50995231763,2512493813778318.0,436247.4189803188,187610.92736829817,1.4245739530879971e+17,4.675587918071649e+16,17.61686396110099,12994.582584019157,-0.1484471131977942
94871.71000000004,2.1911075182560586e+17,-2318248.0744176744,-745178.1589557666,2607806832747530.0,-2318156.211560722,-701502.9345409286,1.639777925942134e+17,5.252515239864359e+16,-91.8628569491756,-43675.22441483926,0.5366164911640023
114358.88100000005,2.4741482124668586e+17,-18193726.672085714,-7706639.724524064,2692681013963075.0,-18193000.221933726,-7222927.472458994,1.8636492841803584e+17,5.835721181468733e+16,-726.450151975567,-483712.2520650871,5.691767859575851
135794.76910000006,2.7686625303709466e+17,-56386063.92116426,-28356753.08605428,2769714525429416.5,-56383804.689299256,-26516554.168371994,2.0979431250528387e+17,6.430222600638263e+16,-2259.2318650841876,-1840198.9176823,20.54329775778406
159374.2460100001,3.0766848677874477e+17,-63510430.33895727,-44375392.47761522,2840655048569748.5,-63507866.960663654,-41328404.6907199,2.3442672512375283e+17,7.040110660642421e+16,-2563.378293698017,-3046987.786895344,29.079317880826526
185311.67061100013,3.4001262470511616e+17,263628974.54833084,102325320.33547762,2906733119592216.0,263618467.45235327,96193737.1389589,2.6041669190153715e+17,7.668919968398474e+16,10507.095977610472,6131583.196518605,-85.49200940193137
213842.83767210017,3.7408510337969376e+17,1874249779.275824,1004366207.2883543,2968846883648116.5,1874174704.552353,938922699.0182308,2.879177755569675e+17,8.319848093907912e+16,75074.72347365937,65443508.270122804,-714.3964404454351
245227.1214393102,4.100727893795146e+17,7025172797.763014,4282165040.7531867,3027671191384333.0,7024890836.569555,3995703750.937018,3.170861686038034e+17,8.99589495843282e+16,281961.1934703246,286461289.81616664,-2795.642828325889
279749.8335832412,4.481666233738814e+17,20198699321.84515,13573442584.923666,3083725395893969.0,20197887435.45976,12647983434.51865,3.48083329871764e+17,9.699956810622448e+16,811886.3854308884,925459150.4050195,-8123.803651663176
317724.81694156537,4.885644153964909e+17,49185283333.76971,35943610095.57327,3137417306553714.0,49183303799.89425,33452822685.241962,3.8107806335859923e+17,1.043489347313344e+17,1979533.8755144894,2490787410.331337,-19569.964073816398
359497.2986357219,5.314731343690905e+17,106171546486.84142,83625774561.14508,3189072734193100.5,106167268379.49113,77745521001.45636,4.162482658416411e+17,1.1203579579325835e+17,4278107.350159174,5880253559.688777,-41064.80567218297
405447.02849929413,5.771108974698618e+17,208645773537.3428,175872873292.1836,3238955999422524.5,208637356729.372,163338915208.8718,4.537824783496215e+17,1.2008946312081808e+17,8416807.970520148,12533958083.311426,-77250.87676317833
455991.7313492236,6.257087880474349e+17,379952440901.8132,340610876091.9022,3287284606753175.5,379937096514.2898,316031273121.2413,4.938813254139817e+17,1.2854017802669688e+17,15344387.52325584,24579602970.660904,-132821.4377495596
511590.904484146,6.775125849163784e+17,649385663326.72,615557663824.3053,3334240078289149.0,649359409093.156,570614021188.5092,5.367588954014391e+17,1.3741944943665211e+17,26254233.56530071,44943642635.79656,-211683.8102416475
572749.9949325606,7.327844555665947e+17,1051789461678.8905,1048532564761.439,3379976242517088.0,1051746892120.4343,971128037149.108,5.826440948184429e+17,1.4676038450563773e+17,42569558.4575901,77404527612.33247,-316159.91558825667
640024.9944258167,7.918046420916137e+17,1626709635439.1882,1696814500872.4644,3424625854291956.5,1626643725078.4019,1570241181247.3535,6.317819931674212e+17,1.565980230699021e+17,65910360.788482,126573319625.11073,-446434.2411846026
714027.4938683985,8.548731458277852e+17,2417201807859.8003,2625576909561.861,3468306152897422.5,2417103761599.431,2427777154960.1064,6.844351588243268e+17,1.669696808505728e+17,98046260.3698484,197799754601.7517,-600385.0126849867
795430.2432552384,9.22311391423751e+17,3468434567280.1963,3905589342065.3916,3511123770178712.5,3468293726546.7188,3608574424208.2627,7.408849681597234e+17,1.7791529949384653e+17,140840733.4768739,297014917857.1192,-773822.2701084187
884973.2675807623,9.94463822191759e+17,4826234545577.846,5610488675934.111,3553179236243521.5,4826038352935.549,5179956940759.835,8.014328489809792e+17,1.894777939745421e+17,196192642.30230942,430531735174.26984,-961050.6915685758
983470.5943388386,1.0716993474269326e+18,6535706061718.767,7813964881521.892,3594571176261733.5,6535440081293.565,7209135533667.289,8.664013963139301e+17,2.0170337993673546e+17,265980425.19296715,604829347854.6224,-1155608.9124387659
1091817.6537727225,1.1544125324913446e+18,8640028717075.557,10587177312341.758,3635400148615251.0,8639676703904.706,9760830601204.855,9.361352761990853e+17,2.1464185614364528e+17,352013170.8524416,826346711136.9028,-1351023.1955816648
1210999.4191499949,1.243024398902803e+18,11179499668686.074,13996636029996.254,3675771956552260.0,11179043677342.79,12895330482844.545,1.01100181525746e+18,2.283468116887848e+17,455991343.2743081,1101305547151.7166,-1541443.5375775974
1342099.3610649945,1.3379826895666378e+18,14190849690292.393,18102676189638.32,3715800192815167.0,14190270211877.254,16667101111262.148,1.0913911640670099e+18,2.428757253068212e+17,579478415.1350559,1435575078376.1497,-1722084.5306691485
1486309.297171494,1.4397614572365512e+18,17706828037250.543,22958548261416.156,3755607765439068.5,17706104153961.867,21123965436316.35,1.1777159235811e+18,2.5828992589000877e+17,723883288.6570807,1834582825099.84,-1889449.9730703083
1644940.2268886436,1.5488598530902252e+18,21756023018058.895,28610060991940.66,3795327206834126.5,21755132565821.883,26306792276677.383,1.2704101366368573e+18,2.746543892465438e+17,890452237.0330571,2303268715263.384,-2041364.0599261345
1819434.249577508,1.6658000245482988e+18,26362864039315.49,35095655569696.773,3835099675636859.0,26361783771085.793,32249580941864.523,1.3699275694671946e+18,2.9203735540545306e+17,1080268229.7285433,2846074627832.2314,-2176856.8108240734
2011377.6745352591,1.7911240721014612e+18,31547737042467.305,42446758491000.93,3875072696821298.5,31546442787541.125,38979800062251.07,1.476739237593781e+18,3.105097618108475e+17,1294254926.152312,3466958428749.7715,-2295958.6172987907
2222515.4419887853,1.9253900576771476e+18,37327138934381.984,50688253020200.586,3915396819147208.5,37325605752036.27,46518832674930.21,1.5913301621962435e+18,3.301444986617514e+17,1533182345.7100935,4169420345270.3706,-2399453.892910466
2454766.986187664,2.069167096307583e+18,43713798125292.55,59838919915528.4,3956221471462177.0,43712000454031.23,54882390089312.16,1.7141953731276557e+18,3.5101550170848723e+17,1797671261.3257551,4956529826216.306,-2488632.840912695
2710243.6848064307,2.2230295951631862e+18,50716697738768.02,69911723014457.39,3997690351736782.0,50714609545043.85,64080780469666.39,1.8458352008599562e+18,3.7319670395148397e+17,2088193724.1047614,5830942544790.998,-2565067.9278609613
2991268.053287074,2.3875507292696893e+18,58340954824613.74,80913850744897.75,4039936679960958.0,58338549756828.086,74118951098190.58,1.986749921823351e+18,3.96760870766368e+17,2405067785.588435,6794899646706.961,-2630430.351661047
3300394.8586157816,2.5632952646317425e+18,66587531310310.695,92846466933422.5,4083078597027293.0,66584782864935.44,84996262486334.11,2.1374338421993582e+18,4.217783438353431e+17,2748445375.3670373,7850204447088.457,-2686352.6336591775
3640434.34447736,2.7508118625663324e+18,75452777772420.9,105704169031655.0,4127214915453407.5,75449659479112.47,96705993833790.48,2.2983689282187267e+18,4.483157194321446e+17,3118293308.532915,8998175197864.363,-2734336.608671226
4014477.7789250966,2.950625029932076e+18,84927836179259.11,119474194252156.17,4172421347234506.0,84924321810848.39,109234618347704.52,2.470018120724154e+18,4.764344878606843e+17,3514368410.636144,10239575904452.0,-2775701.4024406862
4425925.556817607,3.1632269233026785e+18,94997949552010.14,134135449698532.89,4218747269730633.0,94994013363373.84,122560919588978.66,2.6528185113689165e+18,5.061896646640353e+17,3936188636.350237,11574530109554.459,-2811563.2860069675
4878518.112499368,3.389069272455467e+18,105641742897430.28,149657468390816.97,4266213055158729.5,105637359894694.88,136655043566188.72,2.847174608070396e+18,5.376284513299651e+17,4383002735.582915,13002424824628.549,-2842838.3494755267
5376369.923749305,3.6285557570605507e+18,116830549857742.88,165999408042077.66,4314807985947935.5,116825696096294.44,151477594778990.28,3.053451975718222e+18,5.7078897335637466e+17,4853761448.550475,14521813263087.357,-2870259.409520688
