t(s),Total retention volume 8,Total retention volume 7,Total retention volume 6,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 2 volume 8,Total 1 volume 8,Total 1 volume 7,Total 1 volume 6,Flux surface 10: solute
3640434.34447736,9.888581589737064e+17,7.91347632896533e+16,1.0544959483051749e+18,3235161610611992.5,7.913152923161835e+16,9.369822855181335e+17,8.122162538758052e+17,1.7340674348728384e+17,3234058034865.85,1.1751366278704336e+17,-60822388848.459755
4014477.7789250966,1.0267643454546915e+18,8.783061190635504e+16,1.1921692440225285e+18,3243711347988300.0,8.782700165657584e+16,1.0538591583426296e+18,8.448582811107219e+17,1.786623529959719e+17,3610249779050.73,1.383100856798968e+17,-65142695133.92112
4425925.556817607,1.0657922621103832e+18,9.728231126410874e+16,1.3449122804304492e+18,3251835979263659.0,9.727828941946117e+16,1.1825008900780155e+18,8.785280503511493e+17,1.8401237577997152e+17,4021844647713.013,1.6241139035243242e+17,-69749823450.26814
4878518.112499368,1.1059979157894369e+18,1.0754492687241323e+17,1.5142146341078044e+18,3259567655946930.0,1.0754045519467426e+17,1.3239219223757806e+18,9.132764597543067e+17,1.8946188837918867e+17,4471677738973.705,1.9029271173202816e+17,-74667944296.22838
5376369.923749305,1.1474383901517043e+18,1.1867673329730371e+17,1.7017025144143017e+18,3266935816433771.5,1.1867177052273259e+17,1.4792130405168648e+18,9.491555535434945e+17,1.9501590079177498e+17,4962774571159.928,2.2248947389743507e+17,-79922996718.784
5924006.916124236,1.190172130221215e+18,1.3073920928254782e+17,1.9091482581801126e+18,3273967580734682.0,1.3073371092638451e+17,1.649544801959932e+18,9.862187659814561e+17,2.0067939665903e+17,5498356163213.653,2.596034562201856e+17,-85542791792.20543
6526407.60773666,1.2342591994019653e+18,1.4379698959897709e+17,2.1384797848793595e+18,3280688072589000.5,1.4379090775633642e+17,1.8361706828764367e+18,1.0245211441206931e+18,2.06457367208682e+17,6081842640483.059,3.0230910200292384e+17,-91557105621.8504
7189048.368510326,1.2797615120058547e+18,1.579177617563722e+17,2.391789767019873e+18,3287120679736120.5,1.57911044901507e+17,2.0404297968565194e+18,1.0641195517374685e+18,2.1235483958865546e+17,6716854865202.287,3.5135997016335264e+17,-97997753302.12729
7917953.20536136,1.3267430443534236e+18,1.7317209367967408e+17,2.6713441979681065e+18,3293287262987276.0,1.7316468646618365e+17,2.2637490058576443e+18,1.1050728568488687e+18,2.183769002415802e+17,7407213490305.3125,4.0759519211046304e+17,-104898637122.62343
8719748.525897495,1.3752700265760922e+18,1.89633176178623e+17,2.979589953535334e+18,3299208323261269.5,1.8962501924390333e+17,2.50764420395831e+18,1.1474421044312969e+18,2.24528713821531e+17,8156934719711.115,4.7194574957703014e+17,-112295760817.03653
9601723.378487246,1.425411115886497e+18,2.0737646156942285e+17,3.3191608429837015e+18,3304903133859861.5,2.0736749134749466e+17,2.77372050870628e+18,1.1912906748148915e+18,2.3081553793773456e+17,8970221928231.287,5.4544033427741997e+17,-120227199558.28586
10571895.71633597,1.4772375505683955e+18,2.2647917719003293e+17,3.6928815291591393e+18,3310389843457652.5,2.264693257378828e+17,3.0636710423641344e+18,1.2366844269467625e+18,2.372427337781775e+17,9851452150354.797,6.292104867949929e+17,-128733012800.48341
11639085.287969569,1.5308232823818524e+18,2.470196898916834e+17,4.1037685669693834e+18,3315685553763675.5,2.4700888473539146e+17,3.3792739262078653e+18,1.2836918243848579e+18,2.4381577244320886e+17,10805156291856.197,7.244946407615182e+17,-137855084000.3188
12812993.816766527,1.586245083515686e+18,2.6907669506145245e+17,4.555027666968e+18,3320806374619157.0,2.6906485906969613e+17,3.7223870459862794e+18,1.3323840405283436e+18,2.5054023661273222e+17,11835991756617.834,8.326406209817206e+17,-147636867814.29562
14104293.19844318,1.6435826226448358e+18,2.927282015956389e+17,5.050046141531753e+18,3325767458400330.0,2.927152528896165e+17,4.094940077467707e+18,1.3828350382043779e+18,2.5742181698207606e+17,12948706022055.777,9.551060640640558e+17,-158123021737.81802
15524722.518287499,1.7029185030621676e+18,3.180502828752275e+17,5.592379343734197e+18,3330583014957615.0,3.180361347856737e+17,4.498923190893949e+18,1.4351216173147853e+18,2.6446630273243622e+17,14148089553795.795,1.093456152840231e+18,-169358895597.85425
17087194.77011625,1.7643382542752202e+18,3.4511556370730714e+17,6.185729776916183e+18,3335266307915770.5,3.4510012479096275e+17,4.936371787343837e+18,1.489323422811343e+18,2.716795651559779e+17,15438916343912.512,1.2493579895723436e+18,-181389849222.80746
18805914.247127876,1.8279302377018465e+18,3.739910874759357e+17,6.833912989436349e+18,3339829621446856.5,3.739742616188752e+17,5.409342545622892e+18,1.5455228788311895e+18,2.7906752924920643e+17,16825857060668.727,1.4245704438134543e+18,-194262547489.11005
20000000.0,1.8703891102351754e+18,3.936417699730039e+17,7.281853180431278e+18,3342757157609822.5,3.9362399560471776e+17,5.73422902468824e+18,1.5830812915134205e+18,2.8396506156415757e+17,17774368286913.78,1.5476241557430351e+18,-203057789779.43637
