t(s),Total retention volume 8,Total retention volume 7,Total retention volume 6,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 8,Total 3 volume 7,Total 4 volume 6,Flux surface 10: solute
1000.0,4.776120767746567e+16,2526180472702.3354,984485532765.4819,1.475515242608108e+16,2526119058088.0947,975232705123.019,1.2272095409144628e+16,2.0733959842239944e+16,61414614.235048674,9252827642.461664,-2128133.1024578884
2100.0,7.590436959204149e+16,20359015876007.62,9692481890801.572,1.8267444467289252e+16,20358519467681.723,9599276237302.07,2.029648211511873e+16,3.734044300963372e+16,496408325.87725765,93205653499.5085,-25979085.327668674
3310.0,1.0049630027376003e+17,84739162971189.19,49022420232715.37,2.00773959665738e+16,84737090448731.8,48539209503296.04,2.721714562874331e+16,5.3201758678442856e+16,2072522457.4565153,483210729419.3126,-156847421.58697093
4641.0,1.2392696549706082e+17,245781926094874.56,171462573155738.62,2.1280217155724068e+16,245775895683425.9,169727560894835.8,3.3655028442414616e+16,6.899171989892252e+16,6030411449.044188,1735012260902.6116,-630036767.3148293
6105.1,1.469771398694648e+17,563482314554042.6,469758149574415.3,2.2183767161887148e+16,563468443730375.5,464872757008459.9,3.984451535048518e+16,8.494885735709218e+16,13870823667.098732,4885392565956.106,-1909056765.1525695
7715.610000000001,1.699512292402615e+17,1095145716999589.4,1080392273376172.9,2.2911549584386496e+16,1095118667618768.0,1068835615688793.6,4.588988025130883e+16,1.0114979940456554e+17,27049380823.54936,11556657687380.13,-4686159531.940193
9487.171,1.9295781842218275e+17,1885861934647863.5,2179435409394541.2,2.352394510763623e+16,1885815194117605.2,2155447650144892.2,5.183805868039046e+16,1.1759581463415552e+17,46740530260.04576,23987759249650.773,-9764829169.632133
11435.8881,2.160149486867306e+17,2964858419399358.5,3973419317863141.0,2.405432493426769e+16,2964784676912505.0,3928418006975098.5,5.770771690920105e+16,1.342529068432623e+17,73742486854.9672,45001310888037.46,-17858069314.987682
13579.476910000001,2.390997290824266e+17,4346951156799392.5,6688691729829554.0,2.452267221531653e+16,4346842649827423.5,6610760030859842.0,6.350331953344884e+16,1.5107373733366006e+17,108506971970.82025,77931698969717.27,-29391394273.208267
15937.424601000002,2.6217459316893846e+17,6036837371104651.0,1.0561864792432322e+16,2.4941632361432144e+16,6036686130695160.0,1.043532339749239e+16,6.9222729339564776e+16,1.6801023146794227e+17,151240409494.7903,126541394939925.95,-44395230815.63762
18531.167061100005,2.8520193479830883e+17,8034155789889521.0,1.5832676674806136e+16,2.5319557545439884e+16,8033953763502886.0,1.5637729300827232e+16,7.486157967181248e+16,1.850207975810548e+17,202026386625.15228,194947373978909.56,-62520842304.983
21384.283767210007,3.0815235490959443e+17,1.033801845835242e+16,2.273958128485918e+16,2.5662197647170788e+16,1.0337757520967118e+16,2.245200849987679e+16,8.041586802533418e+16,2.020742892370868e+17,260937385303.94965,287572784982404.94,-83157575891.16595
24522.712143931007,3.310091232206028e+17,1.2950437265763694e+16,3.1517842154839496e+16,2.5973710280645508e+16,1.2950109144718284e+16,3.1108709074532684e+16,8.588348039210635e+16,2.191519325478543e+17,328121045391.18304,409133080306828.94,-105597887237.37988
27974.98335832411,3.537702135501306e+17,1.5878533439836664e+16,4.239971065138117e+16,2.625728997682801e+16,1.5878129582257986e+16,4.183504954609643e+16,9.126501211304477e+16,2.362479114602589e+17,403857578668.20264,564661105284743.2,-129195967182.45534
31772.481694156522,3.764486545018868e+17,1.9135662302114948e+16,5.561623904102926e+16,2.6515563150912868e+16,1.9135173711070344e+16,5.4856667055778504e+16,9.656408665747965e+16,2.5336900469349197e+17,488591044592.40045,759571985250865.1,-153484469420.42102
35949.729863572175,3.990716488369905e+17,2.274169002806312e+16,7.140029674109123e+16,2.6750828911477056e+16,2.274110708814999e+16,7.040053082028853e+16,1.0178729972872458e+17,2.7053352019679027e+17,582939913106.5208,999765920802827.5,-178237010131.21396
40544.702849929396,4.2167880081215776e+17,2.672268429930522e+16,8.999037536453872e+16,2.6965195357556108e+16,2.6721996606201044e+16,8.86986101168496e+16,1.0694388745893467e+17,2.8776971799566397e+17,687693104113.79,1291765247689169.2,-203481960658.4843
45599.17313492234,4.4431975842065414e+17,3.1110259968491348e+16,1.1163478098816923e+17,2.71606458134637e+16,3.1109456171185504e+16,1.0999189960606867e+17,1.1204520875189426e+17,3.051139038552959e+17,803797305855.2076,1642881382100544.0,-229482279585.68353
51159.09044841458,4.67051569567678e+17,3.594079966638594e+16,1.365963148510652e+17,2.7339060578996116e+16,3.5939867325427524e+16,1.3453490006244926e+17,1.1710412831233275e+17,3.226083806763511e+17,932340958452.0187,2061414788615890.2,-256628816198.42996
57274.999493256044,4.899360325172397e+17,4.125460151463037e+16,1.651550558668153e+17,2.750221349588456e+16,4.125352697846036e+16,1.625982024352025e+17,1.2213438011526112e+17,3.4029943890609075e+17,1074536169964.7544,2556853431612577.5,-285622208035.19415
64002.499442581655,5.130372817072907e+17,4.70951163287183e+16,1.9761253397989642e+17,2.765175750032695e+16,4.7093884626087224e+16,1.9447240967540157e+17,1.2714997884035843e+17,3.5823554536660064e+17,1231702631001.962,3140124304494860.5,-317155140606.0304
71402.74938683983,5.3641978475550515e+17,5.350826263852457e+16,2.3429384177576608e+17,2.7789208850826772e+16,5.350685738526006e+16,2.3046999614455376e+17,1.3216472828078227e+17,3.764658476238946e+17,1405253264484.61,3823845631212003.5,-352038925389.29535
79543.02432552382,5.6014684783405344e+17,6.0541791781476936e+16,2.755489748001507e+17,2.7915935837251496e+16,6.05401951005499e+16,2.7092636908234592e+17,1.3719185417657115e+17,3.950390578202322e+17,1596680926963.8586,4622605717805198.0,-391154190334.0435
