t(s),Total retention volume 8,Total retention volume 7,Total retention volume 6,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 2 volume 8,Total 1 volume 8,Total 1 volume 7,Total 1 volume 6,Flux surface 10: solute
10000.0,1.0404091383823505e+18,-6.414911607443774e-14,-6.52552903752387e-15,492395898013310.9,-6.414479611676527e-14,-4.6154839311131954e-15,8.600240304074566e+17,1.7989271207687626e+17,-4.319957672631117e-18,-1.910045106410673e-15,3.1826132522474855e-25
21000.0,1.6010292061885906e+18,-5.3814248225010295e-12,-5.842164013676164e-13,737252371518768.6,-5.381055057156362e-12,-4.0602706835643647e-13,1.324360082910723e+18,2.7593187090634058e+17,-3.6976534466628087e-16,-1.7818933301117932e-13,4.28560521436746e-23
33100.0,2.0561440277232707e+18,3.7220291080675476e-11,3.693715340527336e-12,925078071658711.1,3.721773743770692e-11,2.5713529000246482e-12,1.7019252447793134e+18,3.5329370487229626e+17,2.5536429685312105e-15,1.1223624405026875e-12,-9.423127862450662e-23
46410.0,2.465554013349325e+18,1.23515492193908e-10,2.4087323674627027e-11,1086357584374685.5,1.235069889657161e-10,1.6701176913811097e-11,2.0420285560072932e+18,4.224390997576725e+17,8.503228192056705e-15,7.386146760815928e-12,-9.152392059653774e-21
61051.00000000001,2.851857836277154e+18,-4.724212432874245e-10,-4.393417413673828e-11,1232380971237726.2,-4.723887543285131e-10,-3.055126477028504e-11,2.3633174433387505e+18,4.8730801196713306e+17,-3.248895891258682e-14,-1.3382909366453189e-11,-4.334958172427235e-20
77156.10000000002,3.226511537983235e+18,-6.885856392491449e-10,-2.1069235111861679e-10,1368705966262044.2,-6.885381325673142e-10,-1.4569994496723161e-10,2.6752568607522033e+18,5.498859712647685e+17,-4.7506681830438105e-14,-6.499240615138524e-11,9.252377587006849e-20
94871.71000000004,3.596391004583484e+18,3.1707042104358325e-09,4.0840068821212493e-10,1498528742958962.8,3.1704855377501505e-09,2.82806306042934e-10,2.9835383812551327e+18,6.113540945853658e+17,2.1867268568205604e-13,1.2559438216919117e-10,5.289780448344242e-19
114358.88100000005,3.966125154914252e+18,8.786940614884576e-11,7.050172197232812e-10,1623878117138909.8,8.786350179659965e-11,4.861869751814596e-10,3.2920034853003776e+18,6.724977914967293e+17,5.904352245727845e-15,2.1883024454182155e-10,-9.853528614344733e-19
135794.76910000006,4.3391114955846533e+18,-1.0913487608576437e-08,-2.2789128743913796e-09,1746133376823602.5,-1.0912732944791143e-08,-1.5701481463406736e-09,3.6034808323399926e+18,7.338845298678309e+17,-7.546637852845411e-13,-7.08764728050707e-10,-2.316037875368769e-18
159374.2460100001,4.718021922561353e+18,1.5167087386499874e-08,1.3507099417713867e-09,1866280913357135.8,1.5166032047102075e-08,9.167628906410802e-10,3.920203380652607e+18,7.959522609954016e+17,1.0553393978054453e-12,4.339470511303059e-10,4.021611356902967e-18
185311.67061100013,5.105080435003278e+18,1.614805042002359e-08,8.372873367549158e-09,1985054124429988.0,1.6146929397228326e-08,5.711126583228646e-09,4.2440375167084037e+18,8.590578641703859e+17,1.1210227952587316e-12,2.661746784320517e-09,-2.3366625067477894e-17
213842.83767210017,5.502227451768873e+18,-1.0631399206116784e-07,-3.083923244631084e-08,2103015324354438.5,-1.0630656145647502e-07,-2.0943175969581304e-08,4.576618730311449e+18,9.235057061331322e+17,-7.430604692832905e-12,-9.896056476729576e-09,4.324947538244477e-17
