t(s),Total retention volume 8,Total retention volume 7,Total retention volume 6,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 2 volume 8,Total 1 volume 8,Total 1 volume 7,Total 1 volume 6,Flux surface 10: solute
213842.83767210017,2.4416883439742554e+17,3145524546995.7812,2889379224049.028,2674601760760475.0,3145413931774.8413,2759349678066.2793,1.879581559400926e+17,5.353607669657264e+16,110615220.93871945,130029545982.75143,-1701222.1678894341
245227.1214393102,2.69034846278339e+17,4625528529155.7295,4489571834775.996,2715683634773930.0,4625365634521.927,4284705760229.889,2.0821005494317885e+17,5.810910770038658e+16,162894633.80170298,204866074546.1071,-2286305.198552638
279749.8335832412,2.9546480608453894e+17,6514582386803.593,6639884987201.129,2754852281373731.5,6514352636756.021,6332882379290.834,2.298138180722273e+17,6.2896135730939784e+16,229750047.56044534,307002607910.3029,-2906953.0270430576
317724.81694156537,3.2359825961129274e+17,8847756162624.777,9414321721605.93,2792479528205336.0,8847443680088.19,8973557073611.28,2.528856943500895e+17,6.792008573299593e+16,312482536.5868509,440764647994.6429,-3527801.585558971
359497.2986357219,3.535796121585535e+17,11651995317308.078,12872924672379.484,2828889151275518.0,11651583204315.941,12262991404719.596,2.7754630356717654e+17,7.320441944010091e+16,412112992.144672,609933267659.9216,-4117007.2595032384
405447.02849929413,3.8555799232488614e+17,14946753395059.994,17060568144741.238,2864371488343008.5,14946223992620.62,16242919004489.91,3.039204709637052e+17,7.877314987283613e+16,529402439.3565732,817649140251.3065,-4649939.283445801
455991.7313492236,4.1968666912407136e+17,18744958032438.715,22007438014161.6,2899191802192972.0,18744293148013.918,20941038689639.484,3.3213674123965786e+17,8.465073608221579e+16,664884424.8051262,1066399324522.0901,-5110747.335035404
511590.904484146,4.561220838315326e+17,23054080626364.234,27730689061769.438,2933594214572953.5,23053261724890.805,26372622285822.32,3.6232660884179686e+17,9.086188077516082e+16,818901473.4598315,1358066775947.1086,-5492101.713249336
572749.9949325606,4.950225605439859e+17,27877128629959.543,34236686177668.43,2967802645223815.5,27876136990716.277,32542669863300.695,3.946235045783659e+17,9.743125332039512e+16,991639243.266255,1694016314367.6912,-5793721.913597261
640024.9944258167,5.365467597428222e+17,33213432133261.508,41523287033538.164,3002019923724832.0,33212248979463.195,39448095848600.07,4.291615801963289e+17,1.0438315962277227e+17,1183153798.3571813,2075191184937.9705,-6020358.084989899
714027.4938683985,5.808519355442287e+17,39059149346635.66,49581761691115.07,3036425994087060.0,39057755957389.53,47079562245695.61,4.6607433166656966e+17,1.117411778835759e+17,1393389246.1115165,2502199445419.5796,-6179762.633739068
795430.2432552384,6.280920512808261e+17,45407465639913.71,58398116891630.8,3071175878792446.0,45405843455188.484,55422740078979.73,5.0549309964973606e+17,1.1952777575230206e+17,1622184725.3004239,2975376812651.0596,-6280989.788964906
