t(s),Total retention volume 8,Total retention volume 7,Total retention volume 6,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 2 volume 8,Total 1 volume 8,Total 1 volume 7,Total 1 volume 6,Flux surface 10: solute
10000.0,1.0612840506845683e+17,-0.0816067885715522,-0.04467829163330306,1270316756252494.8,-0.08160301257985522,-0.04033394487172698,7.757186546247302e+16,2.7286222849731044e+16,-3.7759916969836986e-06,-0.004344346761576129,6.958531843106712e-09
21000.0,1.6810582278617683e+17,-8.440227999747254,-5.101132961346837,1710741695828847.8,-8.439835535742905,-4.595171294588019,1.2420498925836683e+17,4.219009183198153e+16,-0.0003924640043493166,-0.5059616667588147,8.866378886016258e-07
33100.0,2.2076403119579546e+17,-45.7658657109105,-35.62969918022254,1989330988015986.5,-45.763730630780266,-32.021947342369366,1.6441816543055894e+17,5.435653477722018e+16,-0.002135080130282686,-3.6077518378531037,8.061869562925454e-06
46410.0,2.6988795449585686e+17,323.80376756415717,201.39894368060388,2198926745769830.0,323.78872838885553,181.53926205053452,2.023213495170849e+17,6.536767823299954e+16,0.015039175302230836,19.859681630069453,-3.576461145996305e-05
61051.00000000001,3.176904445355761e+17,3061.5267532630173,2683.3229830504583,2370237915222729.5,3061.3840227205656,2410.0046740474036,2.3950433880638848e+17,7.58158678139657e+16,0.14273054244841438,273.31830900304914,-0.0006931655049272716
77156.10000000002,3.6533264571950765e+17,5223.309179158961,7308.553853492326,2517208040840628.5,5223.064147795772,6536.430608830606,2.7681366194985142e+17,8.600177572881398e+16,0.24503136318502697,772.1232446617272,-0.002538158705641352
94871.71000000004,4.135485661818961e+17,-22779.515631434788,-15333.474512447126,2647355044614663.0,-22778.456782302837,-13842.459533738824,3.147942842391791e+17,9.610692689810275e+16,-1.0588491319626965,-1491.0149787083067,0.0027732756905697376
114358.88100000005,4.628666505107932e+17,-93244.98823529495,-115331.91689223968,2765198770430708.5,-93240.62574894252,-103258.4172319859,3.538467591491736e+17,1.062546925911902e+17,-4.362486352615045,-12073.499660253956,0.03830065631848582
135794.76910000006,5.1370638668675814e+17,90475.60638070056,-392.95888815807314,2873669598469855.5,90471.4552205741,1044.841787109493,3.94295967228225e+17,1.1653674986006165e+17,4.15116012656262,-1437.800675267583,0.019613615152171852
159374.2460100001,5.664266867080263e+17,1355194.8098721954,1761838.9999226306,2974775649808354.0,1355131.5849608942,1577809.2932545338,4.36425683970567e+17,1.2702622708765158e+17,63.22491130127738,184029.70666809683,-0.613306635265829
185311.67061100013,6.213527456217686e+17,3528649.745400666,6623209.963308721,3069952613073638.5,3528484.367245838,5904097.485477328,4.804978838234861e+17,1.3778490918520856e+17,165.37815484004528,719112.4778313722,-2.6183017508504682
213842.83767210017,6.787922467902508e+17,1033580.6185504071,7567835.982320901,3160261782780016.5,1033530.3130354994,6679837.973250258,5.267644864244631e+17,1.4886749858300845e+17,50.30551490839666,887998.009070647,-3.385650801872737
245227.1214393102,7.390458710160737e+17,-17760204.721614286,-23304662.82117363,3246509115732309.5,-17759376.009111945,-20916134.01208656,5.754750654724607e+17,1.6032429642788112e+17,-828.7125023352542,-2388528.809087062,8.960387920786012
279749.8335832412,8.024145782886611e+17,-48808664.46403445,-110217770.80266751,3329320360910989.5,-48806372.660321735,-98035243.2073901,6.268822759458721e+17,1.722029819818749e+17,-2291.8037127564958,-12182527.59527749,45.10287258646819
317724.81694156537,8.69204980856816e+17,-19433465.015229035,-133760891.69835106,3409190403241825.0,-19432521.393403396,-117695435.71310501,6.812459391379863e+17,1.8454985131558896e+17,-943.6218256208259,-16065455.985246455,53.07544642549309
359497.2986357219,9.3973355442262e+17,233244897.83476213,394864409.1271671,3486516776821673.0,233234018.18529195,353683311.55540925,7.38836318780926e+17,1.9741071886487702e+17,10879.64946998748,41181097.571757026,-169.5169724445248
405447.02849929413,1.0143301326695018e+18,760615497.1844227,2130537480.0364125,3561623085487134.5,760579776.9504358,1890207479.4436321,7.999369073016937e+17,2.1083160228231757e+17,35720.23398737038,240330000.59278223,-846.4014457716714
455991.7313492236,1.0933409634675565e+18,834794083.1154578,3901276464.9969983,3634775777876784.5,834754442.7645768,3436394092.5084314,8.648469227915533e+17,2.2485926489812685e+17,39640.35088020665,464882372.488567,-1365.1677207746145
511590.904484146,1.1771315078644004e+18,-2089254029.3022592,-2636225021.808678,3706196423072431.5,-2089157114.8800387,-2401740335.505291,9.338836481391713e+17,2.395416633021604e+17,-96914.42222346528,-234484686.30339006,1574.8953380195353
572749.9949325606,1.266089100281414e+18,-12551772823.53085,-39898569448.59695,3776070864816776.0,-12551184227.929588,-35364750248.79466,1.0073846984474664e+18,2.5492833096912934e+17,-588595.6012237893,-4533819199.802247,15311.428059234782
640024.9944258167,1.3606255379854042e+18,-32961562151.004055,-138821041329.03708,3844556163177941.0,-32960009445.231564,-122439191232.51282,1.0857102645173162e+18,2.7107071730491293e+17,-1552705.772480862,-16381850096.524254,46413.69449309772
714027.4938683985,1.4611796139062694e+18,-48497952209.76077,-278741845169.59064,3911785937134948.5,-48495653617.60227,-244670418419.21942,1.1692453362040253e+18,2.8802249176511315e+17,-2298592.1586047476,-34071426750.37162,77803.6995747046
795430.2432552384,1.5682195382015987e+18,9308551897.680006,-180212266515.9528,3977874530280596.5,9308155778.876375,-155125702203.46707,1.2584018509150144e+18,3.0583981275630176e+17,396118.8036233932,-25086564312.485744,9622.903768341172
884973.2675807623,1.6822451060524516e+18,333915860353.2892,1216993669007.2212,4042920294725826.0,333900180144.6238,1077560866893.1249,1.353620635863198e+18,3.245815498945268e+17,15680208.665602058,139432802114.09686,-456978.92509526265
983470.5943388386,1.8037893659114253e+18,1365510254385.9958,6853650897229.726,4107008201777863.0,1365445798258.651,6026801427804.8955,1.455372921719104e+18,3.443094359905436e+17,64456127.34459418,826849469424.8337,-2009505.4520881523
1091817.6537727225,1.933419436923585e+18,3978513823009.947,23593322763709.89,4170211927876065.0,3978325405573.1104,20678674871261.97,1.5641611119197942e+18,3.650881130759121e+17,188417436.84122688,2914647892447.9004,-5990802.921220917
1210999.4191499949,2.0717360370238241e+18,9747993436032.086,65658817347757.05,4232595521923677.0,9747530440311.582,57397495847056.23,1.6805184145598254e+18,3.8698502694207066e+17,462995720.49756944,8261321500700.917,-14727451.794124098
1342099.3610649945,2.219371237781906e+18,21304083521405.79,159962749166244.03,4294214730133830.0,21303068763684.06,139501727453480.23,1.8050069036228e+18,4.1007011942896166e+17,1014757721.715468,20461021712764.004,-31884818.819416486
1486309.297171494,2.376983978859007e+18,42778285673846.75,353820021701260.5,4355118033270713.0,42776242095360.35,307843658384339.75,1.9382135917029307e+18,4.3441526912279386e+17,2043578486.3321595,45976363316920.54,-62799518.90998755
1644940.2268886436,2.545252965450693e+18,80339560318546.8,725445560272999.1,4415347436141592.0,80335710652769.44,629698310639449.8,2.0807441777357937e+18,4.600934402787561e+17,3849665777.499958,95747249633548.89,-114736143.37181692
1819434.249577508,2.7248667349722947e+18,142811823519028.4,1397484664179810.2,4474939038189645.0,142804958282830.28,1210114408903468.5,2.233214279557487e+18,4.8717751637661434e+17,6865236198.319983,187370255276341.62,-197023006.1892092
2011377.6745352591,2.9165108995922903e+18,242357983892664.94,2553610750410213.5,4533923404877939.0,242346293545602.8,2205676794354807.2,2.3962381591335316e+18,5.157388170539024e+17,11690347061.810701,347933956055406.1,-321039150.8671134
2222515.4419887853,3.1208528232847427e+18,395209159955989.2,4457982113770957.5,4592325750079874.0,395190027883834.8,3840399525490380.5,2.570415175010398e+18,5.458453225242676e+17,19132072154.02131,617582588280580.0,-500047186.17368835
2454766.986187664,3.3385242445714406e+18,622411516999833.9,7477107794197191.0,4650165928165264.0,622381271115306.2,6423241880050101.0,2.756314423758686e+18,5.775596548845818e+17,30245884528.00214,1053865914147082.8,-748888191.7100827
2710243.6848064307,3.5701025787416566e+18,950557803274538.5,1.2103464779434408e+16,4707458220511382.0,950511425475237.1,1.0366545505970512e+16,2.9544582323021855e+18,6.109368882189734e+17,46377799300.731064,1736919273463903.0,-1083571480.415034
2991268.053287074,3.8160918026695603e+18,1412466891168397.2,1.8980060871477756e+16,4764210886933385.0,1412397685597926.2,1.6204555023285596e+16,3.165305314395955e+18,6.460222773866689e+17,69205570470.74864,2775505848192183.0,-1520801012.5190885
3300394.8586157816,4.0769039288101274e+18,2047773219531220.2,2.8925066145403216e+16,4820425443514266.0,2047672442461454.0,2.4611122706112144e+16,3.389234494994265e+18,6.828490083723311e+17,100777069765.89774,4313943439291083.5,-2077481560.005012
3640434.34447736,4.352842111641401e+18,2903389595397919.5,4.295564607443767e+16,4876095632893603.0,2903246051458354.0,3.6415716283169736e+16,3.6265299342185984e+18,7.214360817899616e+17,143543939559.4639,6539929791267993.0,-2770242856.9037514
4014477.7789250966,4.644086408199224e+18,4033811603512873.0,6.231021512909053e+16,4931206080109422.0,4033611214783725.5,5.261694301006147e+16,3.877368755309114e+18,7.617864468100155e+17,200388729146.43842,9693272119029110.0,-3615011379.831276
4425925.556817607,4.950683147472521e+18,5501239710275222.0,8.846847638749536e+16,4985730681921050.0,5500965066277196.0,7.439296039920027e+16,4.141811910324128e+18,8.03885506466471e+17,274643998015.00537,1.407551598829511e+16,-4626649533.291752
4878518.112499368,5.272538763172826e+18,7375505453148785.0,1.2316880081083363e+17,5039630857642352.0,7375135350863074.0,1.0310834670768168e+17,4.419799015388108e+18,8.477001169270696e+17,370102285722.7281,2.0060454103152052e+16,-5818672822.892795
5376369.923749305,5.609418816475635e+18,9733800035987970.0,1.684227089885091e+17,5092853881959445.0,9733309019611956.0,1.4031723359051085e+17,4.711147761341443e+18,8.931782012522391e+17,491016376008.1684,2.8105475397998584e+16,-7203048281.139208
5924006.916124236,5.960952776735375e+18,1.2660216310357456e+16,2.2652643147141034e+17,5145331602798629.0,1.2659574220469728e+16,1.877627428691117e+17,5.015558355852159e+18,9.402490892804032e+17,642089887764.0144,3.8763688602298424e+16,-8790072463.591887
6526407.60773666,6.326644927787828e+18,1.624512776586744e+16,3.000697313208225e+17,5196979893718122.0,1.624429930699141e+16,2.473730083700036e+17,5.332623272321483e+18,9.888246755726504e+17,828458876017.359,5.269672295081854e+16,-10588324741.374868
7189048.368510326,6.705891510016291e+18,2.0584440303402932e+16,3.919423728499883e+17,5247699177983576.0,2.0583384637602484e+16,3.212542985548118e+17,5.66184235768563e+18,1.03880145315268e+18,1055665800416.7043,7.068807429517686e+16,-12604691036.309612
7917953.20536136,7.098003880968504e+18,2.5778764008634268e+16,5.0533882006744557e+17,5297376279434953.0,2.5777434380729064e+16,4.116819886971328e+17,6.002643074626615e+18,1.0900634300624248e+18,1329627905174.487,9.365683137031336e+16,-14844454017.74562
8719748.525897495,7.50223707719704e+18,3.1932562762561224e+16,6.437619570342885e+17,5345887708720348.0,3.193090615981697e+16,5.2109036779341005e+17,6.354405320158823e+18,1.1424858693295092e+18,1656602744199.442,1.2267158924087848e+17,-17311447368.34051
9601723.378487246,7.917822701891092e+18,3.915334903798871e+16,8.110268470876663e+17,5393104303843678.0,3.915130588372869e+16,6.520625071947176e+17,6.7164898823917e+18,1.1959397151955948e+18,2043154260037.1555,1.5896433989294746e+17,-20008273153.914307
10571895.71633597,8.344004584044469e+18,4.7550998927894504e+16,1.0112657846623421e+18,5438896943882819.0,4.754850280445008e+16,8.07321657660386e+17,7.088269199651088e+18,1.2502964874495183e+18,2496123444418.648,2.0394412700195683e+17,-22936581703.179955
11639085.287969569,8.780075215579398e+18,5.7237267089848504e+16,1.2489361215560215e+18,5483142880260793.0,5.723424448174709e+16,9.897258581732972e+17,7.469158720177629e+18,1.305433352521468e+18,3022608101491.107,2.592102633827241e+17,-26097412017.68427
12812993.816766527,9.225410650284773e+18,6.832558124136071e+16,1.5288325306744916e+18,5525732112577040.0,6.832195128485251e+16,1.2022675996051267e+18,7.858646890899655e+18,1.361238027272557e+18,3629956508228.3574,3.265649310693614e+17,-29491587351.672268
14104293.19844318,9.679501423983321e+18,8.093118953052786e+16,1.856105454845435e+18,5566573196509327.0,8.092686375080467e+16,1.4480804494668682e+18,8.256321699544549e+18,1.4176131512422042e+18,4325779723053.476,4.0802500537856877e+17,-33120155635.620026
15524722.518287499,1.014197719596855e+19,9.517172064679674e+16,2.2362874276738534e+18,5605597916748163.0,9.516660265993142e+16,1.7304544771751695e+18,8.661891813614633e+18,1.4744797844372122e+18,5117986865349.816,5.0583295049868614e+17,-36984858926.315285
17087194.77011625,1.0612623249718032e+19,1.1116819634246434e+17,2.6753287163544443e+18,5642764381574839.0,1.1116218149559398e+17,2.0528621097166423e+18,9.075200731502744e+18,1.531779753833676e+18,6014846870517.083,6.224666066378022e+17,-41088611534.89158
18805914.247127876,1.1091387707256934e+19,1.2904651117648853e+17,3.1796433233309046e+18,5678058278906803.0,1.290394860973887e+17,2.418995714271331e+18,9.496232970638619e+18,1.589476678339468e+18,7025079099655.203,7.606476090595793e+17,-45435964412.55376
20000000.0,1.1407249913721848e+19,1.415766180979184e+17,3.5392174152398065e+18,5700263359083333.0,1.4156888133867912e+17,2.6782831924242903e+18,9.774264186331105e+18,1.6272854640316908e+18,7736759239496.522,8.609342228155091e+17,-48376651577.63414
