t(s),Total retention volume 8,Total retention volume 7,Total retention volume 6,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 2 volume 8,Total 1 volume 8,Total 1 volume 7,Total 1 volume 6,Flux surface 10: solute
10000.0,5.169053244263013e+16,-5943.802984146009,-5254.306614329469,1466825187709520.2,-5943.564988116017,-4932.618374965977,3.5973517642506468e+16,1.425018961241399e+16,-0.2379960299984442,-321.6882393634966,0.0027044181465483348
21000.0,8.370449792563725e+16,28850.436955922276,28343.051451296284,1871442056707120.5,28849.36095942206,26986.12718778554,5.953662920172851e+16,2.229642666720169e+16,1.0759965001978875,1356.9242635107616,-0.021222246282476355
33100.0,1.1176146196043184e+17,3186181.9172369232,3512449.447177305,2104983612637359.2,3186055.6248016604,3301145.6179503906,8.067536236741902e+16,2.898111598037568e+16,126.2924352621616,211303.82922691826,-2.214531707209978
46410.0,1.3850251691597384e+17,15879407.212223407,21915121.412183803,2271796474602672.5,15878772.813869042,20542512.60065065,1.0112378823403598e+17,3.5106932207334924e+16,634.3983543649426,1372608.8115331295,-14.88568915611163
61051.00000000001,1.6495977944870093e+17,-61844799.4028632,-62431611.71948035,2403457909186995.0,-61842369.15078792,-58878347.54217926,1.215789031581725e+17,4.097741838134207e+16,-2430.252075206905,-3553264.1773010525,40.16693707659013
77156.10000000002,1.916914142213538e+17,-863862241.950496,-1282925519.9414134,2513528618031328.5,-863827935.3713008,-1203351527.1496348,1.4242938043119926e+17,4.674850517212334e+16,-34306.57919480937,-79573992.79177871,909.4819682388388
94871.71000000004,2.1906380560538678e+17,-3647297442.96104,-6727401026.096368,2609040083146939.5,-3647152022.0810776,-6296860694.900549,1.639390241199068e+17,5.251574140233334e+16,-145420.8799686254,-430540331.1958109,4894.697350975021
114358.88100000005,2.473520933979693e+17,-5901197576.231577,-15550347860.822191,2694097708174120.0,-5900960649.535285,-14510979839.384113,1.8631275976163875e+17,5.8345235928155336e+16,-236926.69629194378,-1039368021.4381022,11265.306696321626
135794.76910000006,2.7678419878784867e+17,17998308048.42613,19805514181.778225,2771302800773711.0,17997595605.017265,18686953877.59,2.0972578272586314e+17,6.42871132612125e+16,712443.4088537382,1118560304.18823,-15645.846063627554
159374.2460100001,3.075628772323981e+17,167582417697.71704,345939453100.6757,2842405255302181.5,167575731899.21445,323520274045.8639,2.3433827437867498e+17,7.038219759841938e+16,6685798.502590479,22419179054.812477,-251933.45512944303
185311.67061100013,3.398777268005365e+17,715668732746.7723,1801840907152.107,2908637174894411.5,715640094572.683,1681549482623.2427,2.60303447848809e+17,7.666564177683138e+16,28638174.087292586,120291424528.86581,-1254622.5605981238
213842.83767210017,3.7391188171017286e+17,2265911966974.872,6639736522167.939,2970897759747916.0,2265821073895.69,6186600571920.644,2.877719870917273e+17,8.316899685869883e+16,90893079.18088439,453135950247.28754,-4378935.249813455
245227.1214393102,4.098454353892966e+17,5964677449400.909,19985193755206.1,3029862421860973.0,5964437634773.456,18594284343590.035,3.1689418333597395e+17,8.992138963146034e+16,239814627.45525733,1390909411616.0488,-12349415.76475908
279749.8335832412,4.478565470738887e+17,13750196419167.29,52124144167454.56,3086050493500988.5,13749642297650.611,48428895011590.24,3.478203648204162e+17,9.695013175996934e+16,554121516.6892824,3695249155864.25,-29875194.85808485
