t(s),Total retention volume 8,Total retention volume 7,Total retention volume 6,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 8,Total 3 volume 7,Total 4 volume 6,Flux surface 10: solute
24522.712143931007,3.744955541342995e+17,229111630992963.0,164943556476416.44,2.6180507140371816e+16,229105897518868.12,162907387356621.53,9.552427564969965e+16,2.527907713442256e+17,5733474094.658967,2036169119794.7615,-540356636.532802
27974.98335832411,4.102474789640306e+17,283714396003891.5,219404605602144.56,2.6551958045035664e+16,283707282048847.44,216641466139556.38,1.0381589732100155e+17,2.7987962359799306e+17,7113955044.626542,2763139462588.1167,-639997981.3424244
31772.481694156522,4.481396432750724e+17,343924142344771.06,283772583434307.06,2.6917896205119884e+16,343915501824208.5,280130268556211.7,1.1252793037939467e+17,3.086938166905583e+17,8640520562.845165,3642314878095.2646,-729535211.9426303
35949.729863572175,4.882902155429433e+17,409475422933842.4,358183280145157.5,2.728137303245111e+16,409465115660684.25,353501852800731.0,1.2168575760921765e+17,3.393230849012717e+17,10307273158.353746,4681427344426.543,-804860731.5631254
40544.702849929396,5.3080678242900224e+17,480075671532773.44,442537870243810.4,2.764467272302175e+16,480063563928968.06,436652745821385.94,1.3131115350916502e+17,3.7185095619681184e+17,12107603806.026848,5885124422424.214,-863408716.3910711
45599.17313492234,5.757855390305768e+17,555400577805324.9,536511514209042.8,2.800941579733244e+16,555386543728074.9,529256556895174.0,1.4142214028369238e+17,4.0635398294955334e+17,14034077250.05208,7254957313868.314,-904085686.6116375
51159.09044841458,6.233105201872463e+17,635088101452256.0,639570617154389.1,2.8376643773163404e+16,635072023171618.4,630781116845435.1,1.5203285222087008e+17,4.4290102419321184e+17,16078280638.151321,8789500308953.602,-927056788.7780567
57274.999493256044,6.734529564393477e+17,718733188588897.9,750996981257612.2,2.874689033650049e+16,718714957902010.8,740512405412727.1,1.6315342545754752e+17,4.815526406453064e+17,18230686886.36717,10484575844885.266,-933461639.9048961
64002.499442581655,7.262708484547227e+17,805884487226262.5,869916666963953.9,2.9120242484103764e+16,805864006660808.6,857583111812793.2,1.747899335733603e+17,5.2236067239726163e+17,20480565453.37997,12333555151160.986,-925114921.8797038
71402.74938683983,7.818088641311807e+17,896043765015294.6,995331313648135.6,2.9496394675534244e+16,896020949056700.0,981003609473269.4,1.8694439335040112e+17,5.653680761052495e+17,22815958594.604973,14327704174862.975,-904228637.7890782
